VIV_SEL,HOGAR,ND_TIPO,BPCOD,R_SEL,BP1_1,BP1_2C,BP1_3C,BP1_4,BP1_5,BP1_6,BP1_7,BP1_8,BP1_20,BP1_23,BP1_31,BP1_35_1,BP1_35_2,BP1_35_3,BP1_35_4,BP1_35_5,BP1_35_6,BP1_35_7,BP1_35_8,BP1_35_9,BP1_35_10,BP1_35_11,BP1_35_99,BP1_36,BP1_37,BP1_38,FAC_DEL,DOM,EST,UPM,CLUSTERS
3,1,1,6,1,5,1,1,2,4,2,1,1,2,9,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2500,0,180,1,1,58,1
4,1,1,9,2,12,1,1,3,1,2,1,1,1,4,2,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,540,1,1,58,1
4,1,1,10,3,1,1,1,4,4,2,1,1,2,4,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,700,540,1,1,59,1
2,2,1,9,2,12,1,1,3,1,2,1,1,2,99,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,338,1,1,61,1
4,1,1,2,1,6,1,1,3,1,1,2,1,2,8,2,0,0,0,1,0,0,0,0,0,0,0,0,1,4000,0,169,1,1,61,1
4,1,1,3,1,5,1,1,3,2,1,1,2,2,6,2,0,0,0,0,0,0,0,0,1,0,0,0,1,5000,0,169,1,1,61,1
4,1,1,4,1,4,1,1,3,1,2,2,1,2,6,2,0,0,0,0,0,0,0,0,1,0,0,0,1,45000,0,169,1,1,61,1
4,1,1,11,1,4,1,1,3,1,2,2,1,2,6,2,0,0,0,1,0,0,0,0,0,0,0,0,1,5000,0,169,1,1,61,1
4,1,2,3,1,11,1,1,3,2,1,2,2,2,6,2,0,0,0,0,0,0,0,0,1,0,0,0,1,4000,0,169,1,1,61,1
2,3,1,7,1,3,1,1,1,2,2,1,1,2,9,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1800,0,156,1,2,62,1
4,1,1,3,4,8,1,1,9,2,2,1,1,2,9,2,0,0,0,0,0,0,0,0,0,0,1,0,1,500,0,156,1,2,62,1
5,1,1,8,1,10,1,1,2,2,1,1,1,2,9,2,1,0,0,0,0,0,0,0,0,0,0,0,5,8569,381,468,1,2,62,1
2,1,1,2,1,2,1,1,4,1,2,1,1,2,9,2,0,0,0,0,0,0,0,0,0,0,1,0,1,6000,0,200,1,2,63,1
2,1,1,6,1,3,14,120,2,4,2,1,1,2,9,1,0,0,0,0,0,0,0,0,0,0,1,0,1,9999999,0,200,1,2,63,0
2,1,1,8,1,1,1,1,2,1,1,1,1,2,9,2,0,0,0,0,0,0,0,0,0,0,1,0,5,8569,381,200,1,2,63,1
5,1,1,2,1,9,1,1,1,1,2,1,1,2,9,2,0,0,0,0,0,0,0,0,0,0,1,0,1,1000,0,200,1,2,63,1
5,1,1,3,1,4,1,1,1,2,2,1,1,2,99,2,0,0,0,0,0,0,0,1,0,0,0,0,1,500,0,200,1,2,63,1
1,1,1,8,1,10,1,1,3,3,1,2,1,2,6,2,0,0,1,1,0,1,0,0,0,0,0,0,3,0,0,597,1,2,65,1
1,1,1,4,3,2,1,1,3,1,2,1,1,2,4,2,1,0,0,0,0,0,0,0,0,0,0,0,3,1000,0,486,1,1,66,1
1,1,1,8,3,1,1,1,1,2,1,1,2,2,7,2,1,0,0,0,0,0,0,0,0,0,0,0,5,8569,381,486,1,1,66,1
1,1,2,8,3,4,1,1,3,2,1,1,2,2,7,2,1,0,0,0,0,0,0,0,0,0,0,0,5,8569,381,486,1,1,66,1
5,1,1,9,2,9,1,1,1,3,2,1,2,1,4,2,0,1,0,0,0,0,0,0,0,0,0,0,1,9999999,2000,324,1,1,66,0
1,1,1,1,2,5,1,1,3,1,2,1,1,1,4,2,1,1,1,1,0,0,0,1,0,0,0,0,1,2000,0,163,1,2,67,1
1,1,1,14,2,12,1,1,2,1,1,1,1,2,6,2,1,1,1,0,0,0,1,1,0,0,0,0,2,0,200,326,1,2,67,1
2,1,1,8,2,4,1,1,1,2,1,2,1,1,4,2,1,1,1,1,1,0,0,0,1,0,0,0,3,0,0,326,1,2,67,1
4,1,1,2,2,4,1,1,3,1,2,1,1,2,6,1,1,1,1,1,1,1,1,1,1,0,0,0,1,30000,0,163,1,2,67,1
4,1,1,9,2,1,1,1,1,5,2,1,1,1,4,2,1,1,1,1,1,1,1,1,1,0,0,0,3,100,0,326,1,2,67,1
1,1,1,2,1,3,1,1,3,1,2,1,1,2,5,2,1,1,0,0,0,0,0,0,0,0,0,0,1,6000,0,157,1,3,68,1
1,1,1,3,1,3,1,1,1,2,2,1,1,1,4,1,1,1,0,0,0,0,0,0,0,0,0,0,1,66000,0,157,1,3,68,1
2,1,1,8,1,3,1,1,1,2,1,2,2,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,157,1,3,68,1
4,2,1,9,1,10,1,1,2,3,2,1,1,2,9,2,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,163,1,2,69,1
4,2,2,9,1,11,1,1,2,3,2,2,1,2,9,2,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,163,1,2,69,1
4,2,3,9,1,12,1,1,2,3,2,2,1,2,9,2,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,163,1,2,69,1
4,3,1,2,1,7,1,1,2,1,2,1,1,2,9,2,0,0,0,0,0,0,0,0,0,0,1,0,1,8000,0,163,1,2,69,1
4,3,1,9,1,3,1,1,1,3,2,1,2,2,9,2,0,0,0,0,0,0,0,0,0,0,1,0,1,60000,0,163,1,2,69,1
5,1,1,7,2,8,1,1,2,1,2,1,1,2,8,2,0,0,1,0,0,0,0,0,0,0,0,0,1,6000,0,344,1,1,70,1
1,1,1,5,4,12,1,1,2,8,2,1,1,2,3,2,0,0,1,0,0,0,0,0,0,0,0,0,1,100,0,684,1,2,71,1
1,1,1,8,4,2,1,1,1,2,1,1,1,2,4,2,0,0,0,1,0,0,0,0,0,0,0,0,5,8569,381,684,1,2,71,1
1,1,2,8,4,5,1,1,1,2,1,1,2,2,4,2,0,0,1,0,0,0,0,0,0,0,0,0,5,8569,381,684,1,2,71,1
1,1,3,8,4,7,1,1,2,2,1,1,1,2,4,2,0,0,1,0,0,0,0,0,0,0,0,0,5,8569,381,684,1,2,71,1
1,1,4,8,4,8,1,1,1,2,1,1,1,2,4,2,0,0,1,0,0,0,0,0,0,0,0,0,5,8569,381,684,1,2,71,1
1,1,5,8,4,12,1,1,2,2,1,1,1,2,4,2,0,0,0,1,0,0,0,0,0,0,0,0,5,8569,381,684,1,2,71,1
3,1,1,4,2,9,1,1,2,1,2,2,1,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1200,0,370,1,2,75,1
5,1,1,10,1,9,1,1,4,1,2,2,1,2,8,2,0,1,1,1,0,0,0,0,1,0,0,0,2,0,0,370,1,2,75,1
2,1,1,2,2,1,1,1,1,1,2,1,1,2,6,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1000,0,189,1,3,76,1
2,1,2,2,2,3,1,1,1,1,2,1,1,2,4,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1000,0,189,1,3,76,1
2,1,3,2,2,4,1,1,1,1,2,1,1,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,1,300,0,189,1,3,76,1
2,1,4,2,2,10,1,1,1,1,2,1,1,2,4,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1000,0,189,1,3,76,1
