VIV_SEL,HOGAR,ND_TIPO,TD_TIPO,BPCOD,R_SEL,AREAM_OCU,RESUL_H,BP1_1,BP1_2C,BP1_3C,BP1_4,BP1_5,BP1_6,BP1_20,BP1_23,BP1_30,BP1_33,BP1_36_01,BP1_36_02,BP1_36_03,BP1_36_04,BP1_36_05,BP1_36_06,BP1_36_07,BP1_36_08,BP1_36_09,BP1_36_10,BP1_36_11,BP1_36_99,DOMINIO,ESTRATO,EST_DIS,UPM_DIS
2,1,1,1,8,4,33,1,5,6,10,2,4,9,2,3,2,5,0,0,1,0,0,0,0,0,0,0,0,0,1,3,92,2130
5,1,1,1,4,2,33,1,9,6,10,1,2,2,2,7,2,5,0,0,0,1,0,0,0,0,0,0,0,0,1,2,91,2216
3,1,1,1,4,1,33,1,1,6,10,3,2,1,1,99,2,1,0,0,0,0,0,0,0,1,1,0,0,0,1,2,91,2216
2,1,1,1,9,1,33,1,11,6,10,3,1,1,2,4,2,5,0,0,1,1,0,0,0,0,0,0,0,0,1,3,92,2113
2,1,1,2,4,1,33,1,12,6,10,4,2,2,1,99,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,2,91,1927
1,1,2,2,2,1,33,1,11,6,10,4,1,2,1,99,2,1,1,1,0,0,0,0,0,0,1,0,0,0,1,3,92,2115
1,1,3,3,7,1,33,1,6,6,10,9,4,9,2,9,2,1,0,0,1,1,0,0,0,1,0,0,0,0,1,3,92,2113
1,1,1,1,5,2,33,1,12,6,10,1,1,1,2,4,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,4,93,2169
3,1,1,1,9,2,33,1,7,6,10,2,2,1,2,4,2,5,0,0,0,0,0,0,0,1,0,0,0,0,1,2,91,2238
3,1,1,1,2,2,33,1,7,6,10,4,1,1,2,7,2,1,0,1,1,1,0,0,0,0,0,0,0,0,1,4,93,2194
3,1,1,1,9,1,33,1,2,6,10,2,2,1,2,3,1,5,0,0,0,1,0,0,0,0,0,0,0,0,1,4,93,2129
5,1,2,2,10,1,33,1,2,6,10,3,8,1,2,1,2,3,0,0,0,0,0,1,0,0,1,0,0,0,1,2,91,2087
5,1,1,1,8,1,33,1,1,6,10,2,2,9,2,4,2,1,0,1,1,0,0,0,0,0,1,0,0,0,1,4,93,2128
1,1,2,2,2,1,33,1,2,6,10,4,1,2,1,99,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,2,91,2104
1,1,1,1,7,2,33,1,7,6,10,9,9,9,2,7,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,4,93,2173
1,1,1,3,9,2,33,1,3,6,10,1,2,1,1,99,1,3,9,9,9,9,9,9,9,9,9,9,9,9,1,4,93,2218
4,1,1,1,9,1,33,1,9,6,10,3,1,1,2,7,1,3,0,0,1,0,0,1,0,1,1,0,0,0,1,2,91,2087
1,1,1,1,2,2,33,1,11,6,10,2,2,2,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,2,91,2216
1,1,2,3,9,2,33,1,99,6,10,2,2,1,2,3,2,5,9,9,9,9,9,9,9,9,9,9,9,9,1,4,93,2173
5,1,3,3,2,3,33,1,1,6,10,4,1,2,2,7,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,2,91,2089
2,1,1,1,2,1,33,1,6,6,10,1,1,2,2,3,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,92,2113
5,1,1,1,9,1,33,1,7,6,10,1,2,1,2,4,2,5,0,0,0,0,0,0,0,0,0,0,1,0,1,4,93,2169
4,2,1,1,13,1,33,1,7,6,10,2,2,1,1,99,2,3,9,9,9,9,9,9,9,9,9,9,9,9,1,4,93,2194
1,1,1,1,3,2,33,1,10,6,10,3,1,9,2,9,2,1,1,0,0,0,0,0,0,1,0,0,0,0,1,4,93,2167
3,1,1,1,5,1,33,1,5,6,10,2,8,1,2,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,4,93,2166
4,1,1,2,9,1,33,1,10,6,10,1,2,1,2,4,2,5,9,9,9,9,9,9,9,9,9,9,9,9,1,4,93,2225
2,1,1,2,8,2,33,1,2,6,10,2,4,9,1,99,2,5,9,9,9,9,9,9,9,9,9,9,9,9,1,3,92,2210
5,1,2,2,3,3,33,1,10,6,10,4,1,9,1,99,2,1,0,0,0,0,0,0,0,1,1,0,0,0,1,2,91,2089
5,1,1,1,10,2,33,1,11,6,10,3,2,1,2,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,1,2,91,2213
1,1,2,2,9,2,33,1,8,6,10,3,2,2,2,5,2,3,0,1,1,0,0,0,0,0,0,0,0,0,1,2,91,2216
2,1,1,1,7,1,33,1,2,6,10,2,4,9,2,9,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,4,93,2194
1,1,1,1,7,2,33,1,6,6,10,3,5,9,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,2,91,2216
3,1,1,1,2,1,33,1,6,6,10,1,1,2,2,8,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,4,93,2229
3,1,1,1,2,1,33,1,11,6,10,2,5,2,2,9,2,1,0,1,0,1,0,0,0,0,0,0,0,0,1,3,92,2114
2,1,1,1,4,1,33,1,4,6,10,1,2,2,1,99,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,4,93,2229
5,1,1,1,6,1,33,1,10,6,10,2,2,2,2,4,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,4,93,2217
1,1,1,1,2,2,33,1,7,6,10,4,1,2,2,4,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,4,93,2129
4,1,1,1,2,1,33,1,6,6,10,4,1,2,2,7,2,1,1,1,1,0,0,0,0,1,1,0,0,0,1,3,92,2136
5,1,1,1,4,1,33,1,3,6,10,1,2,2,1,99,2,1,1,1,1,1,1,1,1,1,1,0,0,0,1,4,93,2228
5,1,1,2,4,1,33,1,5,6,10,3,2,1,2,99,1,3,9,9,9,9,9,9,9,9,9,9,9,9,1,4,93,2128
4,1,1,1,2,1,33,1,6,6,10,4,1,2,1,99,1,1,9,9,9,9,9,9,9,9,9,9,9,9,1,2,91,2087
5,1,1,1,4,1,33,1,7,6,10,4,2,2,2,6,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,4,93,2227
19,1,1,1,2,3,33,1,1,6,10,2,5,2,2,7,2,1,9,9,9,9,9,9,9,9,9,9,9,9,2,2,97,2261
2,1,1,1,2,4,33,1,6,6,10,3,1,2,2,4,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,4,93,2170
3,1,1,1,4,1,33,1,10,6,10,2,2,2,2,8,1,3,0,0,1,1,0,0,0,1,0,1,0,0,1,4,93,2193
1,1,3,3,2,2,33,1,4,6,10,4,1,2,2,6,2,1,1,0,0,1,0,0,0,1,0,0,0,0,1,3,92,2112
1,1,1,2,2,1,33,1,9,6,10,4,1,2,1,99,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,92,2115
5,1,1,1,9,2,33,1,11,6,10,2,2,1,2,4,2,3,1,0,0,0,0,0,0,1,1,0,0,0,1,4,93,2129
1,1,1,1,5,1,33,1,7,6,10,1,1,1,1,99,2,1,0,1,1,0,0,0,1,0,0,0,0,0,1,2,91,2238
2,1,2,2,10,1,33,1,12,6,10,3,5,1,1,99,2,3,0,0,0,1,0,0,0,0,0,0,0,0,1,4,93,2192
5,1,1,1,4,1,33,1,9,6,10,2,2,1,2,4,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,4,93,2168
5,1,1,1,5,4,33,1,10,6,10,2,1,1,2,9,2,1,0,0,0,1,0,0,0,1,1,0,0,0,1,2,91,2165
2,1,1,1,9,1,33,1,5,6,10,2,2,1,2,6,2,5,0,0,0,0,0,0,0,0,0,0,1,0,1,2,91,2235
5,1,1,1,9,3,33,1,3,6,10,3,2,1,2,9,2,5,9,9,9,9,9,9,9,9,9,9,9,9,1,2,91,2094
3,1,2,2,3,3,33,1,6,6,10,3,2,9,2,4,2,3,0,0,0,1,0,0,0,0,0,0,0,0,1,4,93,2188
5,1,2,2,4,1,33,1,9,6,10,1,2,2,2,7,1,3,9,9,9,9,9,9,9,9,9,9,9,9,1,4,93,2128
4,1,1,1,2,1,33,1,9,6,10,4,2,2,2,4,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,3,92,2214
4,1,1,1,2,2,33,1,6,6,10,9,1,2,2,6,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,92,2154
5,1,1,2,2,1,33,1,5,6,10,3,1,2,2,3,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,4,93,2128
3,1,1,1,4,1,33,1,1,6,10,9,2,2,2,7,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,4,93,1840
5,1,1,1,9,1,33,1,11,6,10,2,2,1,2,6,2,5,0,0,0,0,0,0,0,0,0,0,1,0,1,4,93,2171
2,1,1,1,4,1,33,1,11,6,10,2,2,2,1,99,2,1,0,1,0,0,0,0,0,0,1,0,0,0,1,4,93,2189
2,1,1,1,8,1,33,1,7,6,10,3,2,9,1,99,2,1,1,1,1,0,0,0,0,1,1,0,0,0,1,3,92,2115
4,2,1,1,9,1,33,1,7,6,10,2,2,1,1,99,2,3,1,1,1,0,0,1,0,0,0,0,0,0,1,4,93,2194
3,1,1,1,2,1,33,1,9,6,10,4,2,2,2,9,2,5,0,1,1,0,0,0,0,1,0,0,0,0,1,2,91,2103
3,1,1,1,10,2,33,1,10,6,10,2,1,1,1,99,2,3,1,1,1,1,0,1,0,1,1,0,0,0,1,4,93,2191
2,1,1,1,3,1,33,1,8,6,10,4,1,9,2,8,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,4,93,2191
1,1,1,1,4,1,33,1,5,6,10,4,2,2,2,4,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,3,92,2136
5,1,1,1,2,1,33,1,4,6,10,4,2,2,2,6,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,4,93,2227
5,1,1,1,3,1,33,1,11,6,10,4,2,9,2,6,2,5,0,0,0,0,0,0,0,0,1,0,0,0,1,4,93,2170
5,1,1,1,3,1,33,1,7,6,10,2,2,9,2,6,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,4,93,2227
2,1,1,1,3,2,33,1,8,6,10,3,1,9,2,7,2,1,0,0,0,0,0,0,0,1,1,0,0,0,1,3,92,2154
5,1,1,2,3,1,33,1,2,6,10,4,2,9,2,5,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,92,2085
3,1,1,1,6,1,33,1,2,6,10,4,1,2,2,7,2,1,0,1,0,0,0,0,0,1,0,0,0,0,1,4,93,2192
4,1,1,1,10,1,33,1,3,6,10,2,2,1,1,99,2,3,9,9,9,9,9,9,9,9,9,9,9,9,1,2,91,2236
3,1,1,1,7,2,33,1,1,6,10,2,4,9,2,5,2,1,1,1,1,1,1,1,1,1,1,0,0,0,1,3,92,2100
3,1,1,1,2,1,33,1,8,6,10,4,1,2,1,99,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,3,92,2112
4,1,1,1,8,2,33,1,8,6,10,3,1,9,2,4,2,1,0,0,1,1,0,0,0,1,0,0,0,0,1,2,91,2163
3,1,1,1,9,2,33,1,10,6,10,3,2,2,2,4,2,5,1,0,0,0,0,0,0,0,1,0,0,0,1,2,91,2099
3,1,1,1,2,1,33,1,10,6,10,4,2,1,2,8,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,2,91,1897
5,1,1,1,9,2,33,1,4,6,10,2,2,1,2,4,2,3,0,0,1,0,0,0,0,0,0,0,0,0,1,4,93,2187
14,1,1,1,5,4,33,1,8,6,10,3,1,1,2,3,1,1,0,0,0,1,0,1,0,1,0,0,0,0,2,2,98,2247
5,1,1,2,10,4,33,1,8,6,10,3,1,1,2,4,2,5,9,9,9,9,9,9,9,9,9,9,9,9,1,2,91,2110
5,1,2,2,10,4,33,1,5,6,10,4,1,1,2,4,2,5,9,9,9,9,9,9,9,9,9,9,9,9,1,2,91,2110
3,1,1,1,2,2,33,1,12,6,10,2,1,2,2,3,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,91,2126
4,1,1,1,10,2,33,1,8,6,10,3,1,1,2,6,2,5,0,0,0,1,0,0,0,0,0,0,0,0,1,3,92,2154
4,1,1,1,11,1,33,1,8,6,10,3,1,1,1,99,2,2,0,1,1,1,0,0,0,1,0,0,0,0,1,2,91,2236
1,1,2,3,2,2,33,1,6,6,10,4,1,2,2,6,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,92,2112
2,1,1,1,3,2,33,1,3,6,10,4,2,9,2,4,2,1,1,1,1,1,0,1,1,1,1,0,0,0,1,3,92,2136
3,1,1,1,3,1,33,1,10,6,10,2,1,9,2,4,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2,91,2213
3,2,1,1,10,1,33,1,10,6,10,3,1,1,2,3,2,4,1,0,0,1,0,1,0,0,1,0,0,0,1,4,93,2192
3,1,1,1,3,2,33,1,6,6,10,9,2,9,2,4,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,3,92,2125
5,1,1,1,15,3,33,1,8,6,10,2,1,1,2,7,2,3,1,0,0,0,0,1,1,1,1,0,0,0,1,2,91,2094
3,1,1,2,3,3,33,1,1,6,10,4,1,9,2,3,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,4,93,2188
5,1,2,2,3,1,33,1,7,6,10,4,2,9,2,5,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,92,2085
2,1,1,1,9,1,33,1,10,6,10,2,3,2,2,4,2,5,1,0,0,0,0,0,0,0,1,0,0,0,1,2,91,2099
3,1,1,1,10,2,33,1,6,6,10,3,1,1,2,4,2,3,0,0,0,1,0,0,0,0,0,0,0,0,1,3,92,2153
2,1,1,1,4,1,33,1,9,6,10,4,2,2,2,7,2,5,0,0,0,0,0,0,0,1,0,0,0,0,1,4,93,2191
2,1,1,1,7,1,33,1,8,6,10,2,4,9,1,99,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,4,93,1872
3,1,1,1,4,2,33,1,4,6,10,3,2,2,2,4,2,5,0,0,0,1,0,0,0,1,0,0,0,0,1,3,92,2135
2,1,1,2,10,1,33,1,11,6,10,3,5,1,1,99,2,3,9,9,9,9,9,9,9,9,9,9,9,9,1,4,93,2192
4,1,1,1,4,1,33,1,1,6,10,1,2,2,1,99,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,2,91,2236
3,1,1,1,3,4,33,1,11,6,10,2,2,9,2,7,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,92,2137
2,1,1,1,8,2,33,1,4,6,10,2,4,9,1,99,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,2,91,2098
5,1,1,1,3,2,33,1,2,6,10,4,1,9,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,4,93,2187
2,1,1,1,2,1,33,1,4,6,10,4,1,2,2,8,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,4,93,2191
1,1,1,1,8,2,99,1,11,6,999,9,9,9,2,4,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,4,93,2173
1,1,1,1,10,2,99,1,10,7,1,2,2,2,2,6,2,5,0,0,0,1,0,1,0,0,0,0,0,0,2,2,120,2522
9,1,1,2,8,1,99,1,3,7,1,3,3,9,1,99,2,1,9,9,9,9,9,9,9,9,9,9,9,9,2,2,120,2522
9,1,2,2,8,1,99,1,6,7,1,1,3,9,2,7,2,1,0,0,0,0,0,0,0,1,1,0,0,0,2,2,120,2522
18,1,1,1,4,1,99,1,11,7,1,9,2,2,2,3,2,1,0,0,0,0,0,0,0,0,1,0,0,0,2,2,120,2522
5,1,3,4,5,3,99,1,4,7,1,1,5,1,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,3,1,123,2560
3,1,1,1,10,1,99,1,6,7,2,2,1,1,2,7,2,5,0,1,1,0,0,0,0,0,0,0,0,0,2,1,121,2523
7,1,1,1,6,2,99,1,2,7,2,2,4,1,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,2,1,121,2523
7,1,1,1,10,2,99,1,6,7,2,3,1,1,2,4,2,3,0,0,0,0,0,0,0,0,1,0,0,0,2,1,121,2523
16,1,1,1,9,1,99,1,11,7,2,3,4,1,1,99,2,3,0,0,0,0,0,0,0,0,1,0,0,0,2,1,121,2523
1,1,1,1,10,1,99,1,11,7,2,1,2,1,1,99,2,5,0,0,0,0,0,0,0,1,0,0,0,0,2,1,121,2523
5,1,1,1,9,3,99,1,12,7,3,1,2,1,2,6,1,5,0,1,0,1,0,0,0,0,0,0,0,0,3,1,123,2560
9,1,1,1,11,2,99,1,4,7,3,3,1,1,1,99,1,2,0,0,0,0,0,0,1,1,1,0,0,0,3,1,123,2560
4,1,1,1,11,1,99,1,12,7,3,3,1,1,1,99,1,2,0,0,0,1,0,0,1,0,1,0,0,0,3,1,123,2560
8,1,1,1,9,3,99,1,12,7,3,1,2,1,2,3,2,5,1,0,0,0,0,0,0,0,0,0,0,0,3,1,123,2580
9,1,1,1,9,1,99,1,2,7,3,1,2,1,2,1,2,1,1,0,0,0,0,0,0,1,0,0,0,0,3,1,123,2580
10,1,1,1,6,1,99,1,4,7,3,3,2,1,2,1,2,1,9,9,9,9,9,9,9,9,9,9,9,9,3,1,123,2580
10,1,1,1,7,1,99,1,6,7,3,1,5,9,2,7,2,1,0,0,0,0,0,0,0,1,0,0,0,0,3,1,123,2580
11,1,1,1,9,2,99,1,7,7,3,1,2,1,2,4,2,5,1,0,0,0,0,0,0,0,0,0,0,0,3,1,123,2580
18,1,1,1,6,2,99,1,6,7,3,1,1,1,2,5,1,1,0,0,0,0,0,0,0,1,0,0,0,0,3,1,123,2580
19,1,1,1,4,2,99,1,4,7,3,9,2,2,2,7,2,1,9,9,9,9,9,9,9,9,9,9,9,9,3,1,123,2580
19,1,1,1,6,2,99,1,10,7,3,2,2,2,2,7,2,1,0,0,0,0,0,0,0,1,0,0,0,0,3,1,123,2580
7,1,1,3,5,1,99,1,8,7,3,3,1,1,2,3,2,1,9,9,9,9,9,9,9,9,9,9,9,9,3,1,123,2582
7,1,2,3,5,1,99,1,3,7,3,3,1,1,2,7,2,1,9,9,9,9,9,9,9,9,9,9,9,9,3,1,123,2582
7,1,3,3,5,1,99,1,2,7,3,3,1,1,2,6,2,1,0,0,0,0,0,0,0,0,0,0,1,0,3,1,123,2582
15,1,1,1,9,1,99,1,7,7,3,2,8,1,2,7,2,5,1,0,0,0,0,0,0,0,0,0,0,0,3,1,123,2582
3,1,1,1,6,1,99,1,10,7,4,3,2,2,2,7,2,1,0,0,0,0,0,0,0,1,1,0,0,0,3,1,123,2583
6,1,1,2,4,1,99,1,9,7,6,4,2,2,2,6,1,1,9,9,9,9,9,9,9,9,9,9,9,9,3,1,123,2585
6,1,2,2,4,1,99,1,6,7,6,3,2,2,2,6,1,1,0,1,1,1,0,0,0,0,1,0,0,0,3,1,123,2585
11,1,1,1,4,1,99,1,11,7,6,1,2,2,2,1,1,1,0,1,1,1,0,0,0,1,1,0,0,0,3,1,123,2585
3,1,1,1,4,3,99,1,12,7,6,3,2,1,2,3,2,5,0,0,1,0,0,0,0,0,1,0,0,0,3,1,123,2586
3,1,1,1,10,3,99,1,1,7,9,2,3,1,2,4,2,5,0,0,1,0,0,0,0,0,0,0,0,0,1,3,70,1694
4,1,1,1,9,1,99,1,6,7,9,2,3,1,2,4,2,1,1,1,1,1,1,1,1,1,1,0,0,0,3,1,123,2561
2,1,1,1,10,2,99,1,5,7,11,2,2,1,1,99,1,1,0,0,0,0,0,0,0,1,0,0,0,0,3,1,123,2587
12,1,1,1,4,1,99,1,3,7,11,3,2,2,2,3,2,3,9,9,9,9,9,9,9,9,9,9,9,9,3,1,123,2587
12,1,1,1,10,1,99,1,3,7,11,3,2,2,2,3,2,3,0,0,1,0,0,0,0,0,0,0,0,0,3,1,123,2587
10,1,1,1,9,2,99,1,9,7,12,2,2,1,2,8,2,3,0,0,0,0,1,0,0,0,0,0,0,0,2,2,118,2483
1,1,1,1,9,1,99,1,99,7,12,1,1,2,2,7,2,5,1,0,0,0,0,0,0,0,0,0,0,0,2,2,118,2483
19,1,1,1,10,1,99,1,7,7,12,3,1,1,2,6,2,5,0,0,0,1,0,0,0,0,1,0,0,0,2,2,118,2483
2,1,1,1,5,2,99,1,1,7,12,1,1,1,2,4,2,1,0,0,1,0,0,0,0,0,0,0,0,0,3,1,123,2588
12,1,1,1,4,1,99,1,5,7,13,2,2,2,2,6,2,1,1,0,0,0,0,0,0,1,1,0,0,0,3,1,123,2589
8,1,1,1,6,2,99,1,4,7,14,2,2,2,2,5,1,1,0,0,0,0,0,0,0,1,0,0,0,0,3,1,123,2590
6,1,1,1,7,1,99,1,4,7,15,1,3,9,2,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,3,2,124,2562
9,1,1,1,4,3,99,1,11,7,15,4,2,1,2,3,2,5,9,9,9,9,9,9,9,9,9,9,9,9,3,2,124,2562
9,1,1,1,5,3,99,1,12,7,15,3,1,1,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,3,2,124,2562
18,1,1,1,3,3,99,1,8,7,15,2,1,9,2,5,2,1,0,0,0,0,0,0,0,1,0,0,0,0,3,2,124,2562
20,1,1,1,9,1,99,1,7,7,15,2,2,1,2,3,2,5,0,0,0,0,0,0,0,0,0,0,1,0,3,2,124,2562
4,1,2,2,4,2,99,1,11,7,15,3,2,2,1,99,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,109,2372
19,1,1,1,5,2,99,1,5,7,15,2,6,1,2,4,2,3,0,1,1,1,0,0,0,0,0,0,0,0,2,2,122,2549
9,1,1,1,6,3,99,1,12,7,15,3,5,1,2,7,2,1,0,0,0,0,0,0,0,1,0,0,0,0,3,2,124,2562
10,1,1,1,6,1,99,1,12,7,15,1,2,2,2,7,2,1,0,0,0,0,0,0,0,1,0,0,0,0,3,2,124,2562
16,1,2,2,5,1,99,1,4,7,17,2,1,1,2,2,2,1,9,9,9,9,9,9,9,9,9,9,9,9,2,2,118,2485
5,1,1,1,4,1,99,1,6,7,17,3,2,2,1,99,2,1,9,9,9,9,9,9,9,9,9,9,9,9,2,2,118,2488
1,1,1,1,5,1,99,1,7,7,17,3,7,1,1,99,2,3,9,9,9,9,9,9,9,9,9,9,9,9,1,2,104,2557
1,1,1,1,7,2,99,1,9,7,17,2,4,9,2,7,2,1,0,0,0,0,0,0,0,0,0,0,1,0,3,2,124,2569
6,1,1,1,10,2,99,1,2,7,17,2,2,1,2,5,2,5,0,1,1,1,0,0,0,1,0,0,0,0,2,2,118,2484
11,1,1,1,9,2,99,1,1,7,17,2,2,1,2,6,2,1,0,1,1,0,0,1,1,1,0,0,0,0,2,2,118,2484
15,1,1,1,6,2,99,1,8,7,17,4,3,1,1,99,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2,2,118,2484
17,1,1,1,4,2,99,1,3,7,17,2,2,1,2,6,2,5,0,0,0,0,0,0,0,0,0,0,1,0,2,2,118,2484
1,1,3,3,5,3,99,1,3,7,17,4,1,1,2,6,2,1,9,9,9,9,9,9,9,9,9,9,9,9,2,2,118,2485
1,1,1,3,5,3,99,1,11,7,17,3,1,1,2,6,1,1,9,9,9,9,9,9,9,9,9,9,9,9,2,2,118,2485
1,1,2,3,5,3,99,1,5,7,17,2,1,1,2,6,2,1,9,9,9,9,9,9,9,9,9,9,9,9,2,2,118,2485
1,1,1,1,9,3,99,1,12,7,17,1,2,1,2,6,2,5,1,1,1,1,1,1,1,1,1,0,0,0,2,2,118,2485
16,1,1,2,5,1,99,1,12,7,17,2,1,1,1,99,2,1,9,9,9,9,9,9,9,9,9,9,9,9,2,2,118,2485
16,1,1,1,10,1,99,1,9,7,17,3,5,1,2,3,2,2,9,9,9,9,9,9,9,9,9,9,9,9,2,2,118,2485
16,1,1,1,11,1,99,1,2,7,17,2,2,1,2,6,2,3,9,9,9,9,9,9,9,9,9,9,9,9,2,2,118,2485
16,1,1,1,14,1,99,1,11,7,17,2,4,1,2,6,2,4,1,1,1,1,1,1,1,1,1,0,0,0,2,2,118,2485
19,1,1,1,3,2,99,1,7,7,17,4,2,9,2,3,2,5,1,1,1,1,1,0,0,1,1,0,0,0,2,2,118,2485
4,1,1,2,4,1,99,1,11,7,17,2,2,1,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,2,2,118,2486
4,1,2,2,4,1,99,1,11,7,17,2,2,1,2,5,2,1,9,9,9,9,9,9,9,9,9,9,9,9,2,2,118,2486
4,1,1,1,9,1,99,1,1,7,17,2,2,1,2,5,2,1,0,0,0,0,0,0,0,1,0,1,0,0,2,2,118,2486
6,1,1,1,4,2,99,1,12,7,17,2,2,2,2,7,2,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,118,2486
16,1,1,1,3,2,99,1,3,7,17,4,2,9,2,6,2,1,1,1,1,1,1,1,0,1,1,0,0,0,2,2,118,2486
20,1,1,1,4,3,99,1,2,7,17,3,2,2,2,3,1,1,1,1,1,1,1,1,1,1,1,0,0,0,2,2,118,2486
6,1,1,1,9,3,99,1,5,7,17,2,1,2,2,8,2,5,0,0,0,0,0,0,0,0,0,0,1,0,2,2,118,2487
8,1,1,1,10,3,99,1,10,7,17,1,5,1,2,8,2,3,0,0,0,0,0,0,0,0,0,0,1,0,2,2,118,2487
15,1,1,1,4,3,99,1,1,7,17,3,2,2,2,5,2,5,0,0,0,0,0,0,0,0,0,0,1,0,2,2,118,2487
17,1,1,1,10,1,99,1,11,7,17,2,2,1,1,99,2,3,0,0,0,0,0,0,0,0,1,0,0,0,2,2,118,2487
2,1,1,2,9,2,99,1,11,7,17,2,2,1,1,99,2,3,9,9,9,9,9,9,9,9,9,9,9,9,2,2,118,2488
2,1,2,2,9,2,99,1,10,7,17,1,3,2,2,6,2,3,0,0,0,0,0,0,0,0,0,0,1,0,2,2,118,2488
3,1,1,2,3,2,99,1,3,7,17,4,2,9,2,5,2,5,9,9,9,9,9,9,9,9,9,9,9,9,2,2,118,2488
3,1,2,2,3,2,99,1,10,7,17,3,2,9,2,4,2,5,0,0,0,0,0,0,0,0,0,0,1,0,2,2,118,2488
4,1,1,1,3,1,99,1,3,7,17,9,2,9,2,4,2,1,0,0,0,0,0,0,0,0,0,0,1,0,2,2,118,2488
6,1,1,1,2,4,99,1,8,7,17,3,1,2,2,3,2,1,9,9,9,9,9,9,9,9,9,9,9,9,2,2,118,2488
6,1,1,1,3,4,99,1,12,7,17,9,2,9,2,3,2,5,9,9,9,9,9,9,9,9,9,9,9,9,2,2,118,2488
6,1,1,1,5,4,99,1,9,7,17,2,1,1,2,7,2,1,0,0,0,0,0,0,0,0,0,0,1,0,2,2,118,2488
10,1,1,1,4,2,99,1,1,7,17,1,2,1,1,99,2,3,1,0,0,0,0,0,0,0,0,0,0,0,2,2,118,2488
13,1,1,1,4,1,99,1,3,7,17,1,2,2,2,5,1,1,1,1,1,1,1,1,0,1,0,0,0,0,2,2,118,2488
20,1,1,1,5,2,99,1,10,7,17,3,3,1,2,4,2,1,0,0,0,0,0,0,0,0,0,0,1,0,2,2,118,2510
5,1,1,1,7,2,99,1,11,7,17,9,8,9,2,4,2,1,0,0,0,1,0,0,0,1,1,0,0,0,2,2,120,2530
1,1,1,5,9,1,99,1,2,7,17,1,1,1,2,7,2,3,9,9,9,9,9,9,9,9,9,9,9,9,2,2,368,7660
9,1,1,1,4,2,99,1,6,7,18,3,2,2,2,9,2,1,0,0,0,0,0,0,0,1,0,0,0,0,3,1,123,2591
15,1,1,1,9,1,99,1,6,7,18,1,2,1,2,3,2,5,0,0,0,0,0,0,0,0,1,0,0,0,3,1,123,2591
