VIV_SEL,HOGAR,ND_TIPO,TD_TIPO,BPCOD,R_SEL,RESUL_H,BP1_1,BP1_2C,BP1_3C,BP1_4,BP1_5,BP1_6,BP1_20,BP1_23,BP1_30,BP1_33,BP1_34,BP1_35,BP1_36_01,BP1_36_02,BP1_36_03,BP1_36_04,BP1_36_05,BP1_36_06,BP1_36_07,BP1_36_08,BP1_36_09,BP1_36_10,BP1_36_11,BP1_36_99,FAC_DEL,DOM,EST,UPM,EST_SOC
4,1,2,5,2,1,1,5,1,1,4,2,2,2,1,2,1,863,0,0,0,0,0,0,0,0,0,0,0,0,0,224,1,5,32,2
4,1,3,5,2,1,1,11,1,1,4,2,2,2,1,2,1,1050,0,0,0,0,0,0,0,0,0,0,0,0,0,224,1,5,32,2
4,1,4,5,2,1,1,11,1,1,4,2,2,2,1,2,1,1050,0,0,0,0,0,0,0,0,0,0,0,0,0,224,1,5,32,2
4,1,5,5,2,1,1,12,1,1,4,2,2,2,1,2,1,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,224,1,5,32,2
5,1,1,1,2,1,1,1,1,1,1,4,2,2,3,1,1,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,187,1,7,33,4
5,1,1,1,7,1,1,4,1,1,9,4,1,2,4,2,1,9999999,0,0,0,0,0,0,0,0,0,0,0,0,0,374,1,7,33,4
5,1,1,2,3,1,1,6,1,1,3,1,1,2,4,2,1,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,187,1,7,33,4
5,1,1,4,9,1,1,12,1,1,1,3,1,2,4,2,5,5754,258,0,0,0,0,0,0,0,0,0,0,0,0,374,1,7,33,4
5,1,2,2,3,1,1,7,1,11,1,1,1,2,4,2,5,5754,258,0,0,0,0,0,0,0,0,0,0,0,0,187,1,7,33,4
5,1,2,4,9,1,1,12,1,11,2,3,1,2,4,2,5,5754,258,0,0,0,0,0,0,0,0,0,0,0,0,374,1,7,33,4
5,1,3,4,9,1,1,10,1,11,2,3,1,2,4,2,5,5754,258,0,0,0,0,0,0,0,0,0,0,0,0,374,1,7,33,4
5,1,4,4,9,1,1,12,1,11,3,3,1,2,4,2,5,5754,258,1,1,1,1,1,1,1,0,0,0,0,0,374,1,7,33,4
2,1,1,1,3,1,1,4,1,1,3,2,1,2,6,2,1,500,0,0,0,0,0,0,0,0,0,0,0,0,0,190,1,6,34,3
2,1,1,1,4,1,1,9,1,1,2,2,2,1,4,2,1,12000,0,1,0,1,1,0,1,0,1,1,0,0,0,190,1,6,34,3
3,1,1,1,7,1,1,12,1,1,9,4,1,2,9,1,1,170000,0,0,0,0,0,0,0,0,0,0,0,0,0,190,1,6,34,3
3,1,1,1,9,1,1,12,1,1,3,2,1,2,3,2,5,5754,258,0,0,0,1,0,0,0,0,0,0,0,0,190,1,6,34,3
4,1,1,1,8,1,1,5,1,1,2,4,1,2,5,2,1,500,0,0,1,1,1,0,0,0,1,0,0,0,0,380,1,6,34,3
5,1,1,1,3,1,1,12,1,1,4,2,1,2,3,2,5,5754,258,0,0,0,0,0,0,0,1,0,0,0,0,190,1,6,34,3
1,1,1,1,5,1,1,9,1,6,2,1,1,2,4,1,1,10000,3000,0,0,0,1,0,0,0,0,0,0,0,0,254,1,7,35,4
4,1,1,1,4,3,1,2,1,1,2,2,2,1,4,2,1,50000,0,0,1,1,0,0,0,0,0,0,0,0,0,127,1,7,35,4
4,1,1,2,2,2,1,5,1,1,3,1,2,2,5,2,1,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,173,1,5,37,2
4,1,2,2,2,2,1,10,1,1,4,1,2,2,7,2,1,3500,0,0,0,0,1,0,1,0,0,0,0,0,0,173,1,5,37,2
5,1,1,1,10,1,1,10,1,1,9,2,1,2,1,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,173,1,5,37,2
1,1,1,1,2,3,1,2,1,1,4,1,2,2,4,1,1,3000,0,1,0,0,0,0,0,0,0,0,0,0,0,144,1,6,39,3
4,1,1,1,2,2,1,1,1,1,2,1,2,2,4,1,1,2000,500,0,0,1,0,0,0,0,0,0,0,0,0,144,1,6,39,3
1,1,1,2,2,2,1,9,1,1,3,1,2,2,6,2,1,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,115,1,6,40,3
1,1,2,2,2,2,1,10,1,1,3,1,2,2,6,2,1,700,0,0,1,1,1,0,0,0,1,0,0,0,0,115,1,6,40,3
