VIV_SEL,HOGAR,ND_TIPO,TD_TIPO,BPCOD,R_SEL,RESUL_H,SEXO,EDAD,AREAM_OCU,BP1_1,BP1_2C,BP1_3C,BP1_4,BP1_5,BP1_6,BP1_20,BP1_23,BP1_30,BP1_33,BP1_36_01,BP1_36_02,BP1_36_03,BP1_36_04,BP1_36_05,BP1_36_06,BP1_36_07,BP1_36_08,BP1_36_09,BP1_36_10,BP1_36_11,BP1_36_99,DOMINIO,ESTRATO,EST_DIS,CVE_ENT,CVE_MUN,CLUSTERS
2,1,1,1,5,2,1,2,36,14,6,1,1,1,1,1,2,4,2,3,0,0,0,0,0,0,0,1,1,0,0,0,1,3,2,1,1,1
1,1,1,1,10,1,1,2,53,14,8,1,1,9,2,1,2,9,2,3,1,1,1,1,1,1,1,1,1,0,0,0,1,3,2,1,1,1
4,1,1,1,8,1,1,1,38,14,1,1,1,9,9,9,2,99,2,9,0,0,0,0,0,0,0,0,0,1,0,0,1,4,233,14,120,1
1,1,1,1,4,3,1,2,58,14,1,1,1,4,2,1,2,7,2,3,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,1,1,1
2,1,3,3,2,5,1,2,19,14,4,1,1,4,1,2,2,4,1,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,1,1,1
2,1,2,2,4,2,1,2,27,14,1,1,1,2,2,2,2,6,2,5,1,1,1,1,1,1,1,1,1,0,0,0,1,3,2,1,1,1
5,1,1,1,10,1,1,1,28,14,10,1,1,1,3,1,2,9,2,3,1,1,1,1,1,0,0,1,1,0,0,0,1,4,3,1,1,1
3,1,1,1,11,2,1,1,18,14,11,1,1,3,1,1,2,6,2,5,0,1,0,0,0,0,0,0,1,0,0,0,1,2,1,1,1,1
1,1,2,2,2,2,1,2,51,14,4,1,1,4,1,2,2,99,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,1,1,1
3,1,2,2,3,1,1,1,26,14,2,1,1,4,2,9,2,7,2,1,1,1,1,1,1,1,1,1,1,0,0,0,1,3,2,1,1,1
20,1,2,4,2,1,1,2,30,14,6,1,1,2,1,2,1,99,2,1,9,9,9,9,9,9,9,9,9,9,9,9,3,2,11,1,1,1
1,1,1,1,9,1,1,1,48,14,11,1,1,2,2,1,2,4,2,5,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,1,1,1
5,1,1,1,3,2,1,2,33,14,11,1,1,4,2,9,2,6,2,3,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,1,1,1
5,1,1,1,2,1,1,1,52,14,12,1,1,9,2,2,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,1,1,1
2,1,2,2,2,1,1,1,22,14,12,1,1,4,1,1,2,5,2,1,1,0,0,0,0,0,0,1,1,0,0,0,1,2,1,1,1,1
4,1,1,1,3,1,1,1,37,14,4,1,1,4,2,9,2,4,2,1,1,0,0,0,0,0,0,1,1,0,0,0,1,4,3,1,1,1
1,1,1,1,5,2,1,1,61,14,99,1,1,1,1,1,2,99,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,1,1,1
2,1,1,3,2,1,1,1,61,14,12,1,1,1,1,2,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,4,3,1,1,1
2,1,1,1,4,7,1,2,18,14,4,1,1,4,2,1,2,3,2,5,1,0,0,0,0,0,0,0,1,0,0,0,1,3,2,1,1,1
4,1,1,2,2,2,1,2,67,14,2,1,1,3,1,2,2,4,2,5,9,9,9,9,9,9,9,9,9,9,9,9,1,4,3,1,1,1
2,1,1,1,9,1,1,2,58,14,11,1,1,2,2,1,2,3,2,5,0,0,0,1,0,0,0,0,0,0,0,0,1,3,2,1,1,1
1,1,1,1,2,4,1,1,60,14,11,1,1,1,1,2,2,4,2,1,0,0,1,1,0,0,0,1,0,0,0,0,1,3,2,1,1,1
4,1,5,5,4,2,1,2,44,14,1,1,1,4,2,1,2,4,2,3,1,1,1,1,1,1,1,1,1,0,0,0,1,2,1,1,1,1
1,1,2,3,3,2,1,2,45,14,12,1,1,3,1,9,2,6,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,1,1,1
4,1,2,2,13,2,1,2,19,14,5,1,1,3,1,1,2,5,2,3,1,1,0,0,0,0,0,0,0,0,0,0,1,3,2,1,1,1
1,1,1,5,2,3,1,1,22,14,12,1,1,4,1,2,2,99,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,4,3,1,1,1
4,1,1,1,2,1,1,1,53,14,5,1,1,1,1,2,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,4,3,1,1,1
1,1,3,5,2,3,1,1,22,14,6,1,1,4,1,2,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,4,3,1,1,1
5,1,1,1,2,2,1,1,44,14,5,1,1,4,1,2,2,4,2,1,0,0,0,0,0,0,0,1,1,0,0,0,1,3,2,1,1,1
2,1,1,1,9,1,1,1,36,14,3,1,1,1,3,1,2,5,2,3,0,1,0,1,0,0,1,0,1,0,0,0,1,2,1,1,1,1
2,1,1,1,9,2,1,2,59,14,99,1,1,2,2,1,2,3,2,5,1,0,1,1,0,0,0,0,0,0,0,0,1,2,1,1,1,1
3,1,2,2,2,1,1,1,33,14,10,1,1,3,3,2,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,1,1,1
2,1,1,1,7,2,1,2,42,14,9,1,1,2,9,9,2,9,2,1,0,0,1,0,0,0,0,1,0,0,0,0,1,4,3,1,1,1
3,2,1,2,2,1,1,1,37,14,11,1,1,4,1,1,2,6,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,1,1,1
2,1,1,1,9,3,1,1,50,14,6,1,1,2,2,1,2,6,2,3,0,0,0,0,0,0,0,0,1,0,0,0,1,3,2,1,1,1
20,1,2,2,4,1,1,2,30,14,1,1,1,2,2,2,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,3,2,11,1,1,1
3,1,1,1,10,2,1,1,18,14,9,1,1,3,1,1,1,99,2,5,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,1,1,1
2,1,2,2,2,2,1,1,41,14,5,1,1,4,1,2,2,4,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,1,1,1
3,1,1,2,3,1,1,1,26,14,11,1,1,4,2,9,2,7,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,1,1,1
3,1,2,2,2,4,1,1,18,14,6,1,1,1,1,2,2,99,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,1,1,1
3,1,1,1,8,1,1,1,26,14,11,1,1,2,8,9,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,1,1,1
2,1,1,1,2,6,1,1,19,14,6,1,1,4,1,2,2,4,2,4,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,1,1,1
3,1,2,2,5,4,1,1,18,14,8,1,1,3,1,1,2,3,2,1,1,1,1,1,1,0,0,0,1,0,0,0,1,2,1,1,1,1
5,1,1,1,8,1,1,1,52,14,9,1,1,9,2,9,2,9,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,3,2,1,1,1
2,1,1,1,4,5,1,2,19,14,4,1,1,2,2,2,2,5,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,1,1,1
5,1,1,1,8,1,1,1,33,14,12,1,1,2,4,9,2,4,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,2,1,1,1,1
5,1,1,2,2,1,1,1,36,14,9,1,1,4,2,1,1,99,1,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,1,1,1
1,1,1,1,9,2,1,2,61,14,12,1,1,2,1,1,2,6,2,3,1,1,1,1,1,1,1,1,1,1,0,0,1,3,2,1,1,1
1,1,1,2,2,2,1,2,51,14,11,1,1,4,1,1,2,9,2,3,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,1,1,1
