VIV_SEL,HOGAR,ND_TIPO,TD_TIPO,BPCOD,R_SEL,AREAM_OCU,RESUL_H,BP1_1,BP1_2C,BP1_3C,BP1_4,BP1_5,BP1_6,BP1_20,BP1_23,BP1_30,BP1_33,BP1_34,BP1_35,BP1_36_01,BP1_36_02,BP1_36_03,BP1_36_04,BP1_36_05,BP1_36_06,BP1_36_07,BP1_36_08,BP1_36_09,BP1_36_10,BP1_36_11,BP1_36_99,FAC_DEL,EST_DIS,UPM_DIS,DOMINIO,ESTRATO,FAC_DEL_AM,CLUSTERS
4,1,1,1,4,1,14,1,1,1,1,4,2,2,2,6,2,1,1000,0,0,0,1,1,0,0,0,1,0,0,0,0,193,5,74,1,3,194,0
4,1,1,1,2,2,14,1,10,1,1,4,1,2,2,4,2,1,8000,0,0,0,0,0,0,0,0,1,0,0,0,0,187,5,150,1,3,185,0
8,1,1,1,11,1,14,1,10,1,1,3,1,1,2,4,1,2,0,300,1,0,1,0,0,1,1,1,1,0,0,0,332,3,298,3,2,0,0
3,1,1,1,2,3,14,1,3,1,1,4,1,2,2,6,2,1,1000,0,0,0,0,1,1,0,0,0,1,0,0,0,190,4,56,1,2,185,0
2,1,1,1,1,2,14,1,10,1,1,1,1,2,1,4,2,1,36000,0,1,1,1,1,1,1,1,0,1,0,0,0,186,5,23,1,3,184,0
2,1,1,3,2,3,14,1,3,1,1,4,1,2,2,6,2,1,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,195,5,127,1,3,195,0
4,1,1,1,2,1,14,1,2,1,1,4,1,2,2,3,2,5,4853,227,0,0,0,0,0,0,0,1,0,0,0,0,197,5,145,1,3,193,0
6,1,1,1,13,1,14,1,3,1,1,3,8,1,2,3,2,5,4853,227,1,1,1,1,0,1,1,1,1,0,0,0,332,3,298,3,2,0,0
4,1,2,3,2,5,14,1,3,1,1,4,1,2,2,5,2,1,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,199,5,75,1,3,196,0
1,1,2,3,2,1,14,1,12,1,1,4,1,2,2,99,2,1,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,185,4,235,1,2,185,0
