CVE_ENT,CVE_MUN,CVE_MOD,CVE_TIPO,CVE_SUBTIPO,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,TOTAL_DELITOS,TMODVICC_2017
1,3,6,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,3,6,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,3,6,16,16,6,5,5,7,3,12,12,19,17,14,12,17,123,1
1,3,6,16,17,4,2,1,2,4,0,3,4,4,5,4,3,32,1
1,3,6,16,18,3,2,3,8,5,7,4,4,4,6,5,5,53,1
1,3,6,16,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,3,6,16,20,1,0,0,1,3,0,2,2,5,3,7,2,25,1
1,3,6,16,10,7,2,9,15,11,4,9,12,10,8,12,8,100,1
1,3,6,16,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,3,7,17,21,1,0,4,1,1,2,3,9,2,1,3,2,28,1
1,3,9,15,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,3,9,15,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,3,9,15,27,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,3,9,15,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,3,9,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,3,9,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,3,9,16,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,3,9,16,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,3,9,16,27,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,3,9,16,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,3,9,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,3,9,16,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,3,8,15,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,3,8,15,23,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,3,8,15,24,0,0,0,0,0,0,1,0,1,0,0,0,2,1
1,3,8,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,3,8,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,3,8,16,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,3,8,16,23,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,3,8,16,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,3,8,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,3,8,16,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,3,3,8,9,2,0,1,1,0,2,1,1,2,0,1,0,9,1
1,3,3,8,8,0,1,1,0,0,0,0,0,0,1,1,0,4,1
1,3,3,8,10,2,1,3,4,6,13,8,7,8,17,4,4,75,1
1,3,3,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,3,3,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1
